chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL96557;Mus musculus;Cn1c(O)nnc1-c1cccs1;400.0
CHEMBL96556;Mus musculus;CCn1c(-c2ccc(Cl)cc2)nn(C)c1=O;400.0
CHEMBL96550;Mus musculus;Cn1nc(-c2ccc(Cl)cc2)n(C)c1=O;800.0
CHEMBL96519;Mus musculus;Cn1nc(-c2ccc(Cl)c(Cl)c2)n(C)c1=O;200.0
CHEMBL96289;Mus musculus;CCn1nc(-c2ccccc2)n(C)c1=O;800.0
CHEMBL96263;Mus musculus;CCn1nc(-c2ccc(Cl)cc2)n(CC)c1=O;400.0
CHEMBL96251;Mus musculus;O=C1CSC(c2ccc(Cl)c(Cl)c2)N1CCN1C(=O)CSC1c1ccc(Cl)c(Cl)c1;1000.0
CHEMBL96204;Mus musculus;COc1ccc(OC)c(C2SCC(=O)N2CCN2C(=O)CSC2c2cc(OC)ccc2OC)c1;1000.0
CHEMBL96063;Mus musculus;Cn1nc(-c2ccccc2F)n(C)c1=O;800.0
CHEMBL959;Oryctolagus cuniculus;CC(N)C12CC3CC(CC(C3)C1)C2;175.0
CHEMBL9562;Mus musculus;CN(C(=O)CN)c1ccc(Cl)cc1C(=O)c1c(Cl)cccc1Cl.Cl;245.0
CHEMBL95;Mus musculus;Nc1c2c(nc3ccccc13)CCCC2;39.8
CHEMBL94916;Mus musculus;CCCCc1cc(O)c2c(c1)OC(C)(C)C[C@H]2NCC(C)O;800.0
